"Title","Player_Limit","Local_Limit","Genre","Subgenre","Release_Year","Online","Offline","Price"
"Rise of Flight","99","1","Simulator","Flight","2010","Yes","No","Free"
"Rise of Nations","8","1","Strategy","RTS","2003","Yes","Yes",""
"Rise of Nations: Extended Edition","8","1","Strategy","RTS","2014","Yes","Yes",""
"Rise of Nations: Rise of Legends","8","1","Strategy","RTS","2006","Yes","Yes",""
"Rise of the Triad 2013 (Doom edition)","16","1","FPS","Action","2013","Yes","Yes",""
"Risk II","8","8","Strategy","Turn-based","2000","Yes","Yes",""
"Risk of Rain","4","4","Platformer","Action","2013","Yes","Yes",""
"Robot Roller-Derby Disco Dodgeball","12","1","FPS","Action","2015","Yes","Yes",""
"Rocket League","8","4","Sports","","2015","Yes","Yes",""
"Rome: Total War","8","1","Strategy","RTS","2004","Yes","Yes",""
"Rune Classic","32","1","Action","Combat","2000","Yes","Yes",""
"RUNNING WITH RIFLES","200","1","Action","Shooter","2015","Yes","Yes",""
"Rust","500","1","FPS","Survival","2013","Yes","Yes",""
"Sacred 2 Fallen Angel","16","1","RPG","Medieval","2008","Yes","Yes","Free"
"Sacred 2 Gold","8","1","RPG","Action","2012","Yes","Yes",""
"Sacred Citadel","3","3","Action","Arcade","2013","Yes","Yes",""
"Sacrifice","4","1","Strategy","RTS","2000","Yes","Yes",""
"Saints Row IV","2","2","Open world","Action","2013","Yes","Yes",""
"Saints Row: The Third","2","1","Open world","Action","2011","Yes","Yes",""
"Salt and Sanctuary","2","2","RPG","Action","2016","No","No",""
"Samurai Gunn","4","4","Platformer","Action","2013","No","No",""
"Sanctum 2","4","1","FPS","Tower Defense","2013","Yes","No",""
"Savage XR","64","1","FPS","RTS","2003","Yes","Yes","Free"
"Screencheat","8","8","FPS","Shooter","2015","Yes","Yes",""
"Serious Sam 3: BFE","16","1","FPS","Action","2011","Yes","No",""
"Serious Sam: The First Encounter","16","1","FPS","Action","2001","No","Yes",""
"Shaun White Snowboarding","2","2","Sports","Simulation","2008","Yes","Yes",""
"ShootMania Storm","250","1","FPS","Action","2013","Yes","Yes",""
"Sid Meier's Alpha Centauri","7","7","Strategy","Turn-based","1999","Yes","Yes",""
